Test Case ID,Issue type,Test Case Title,Preconditions,Test Steps,Test Data,Expected Result,Status
TC_01,Task,Register User,"Browser launched and
 user has internet access.","1. Navigate to automationexercise.com
2. Click 'Signup / Login'
3. Enter name and email
4. Fill all required fields and click 'Create Account'
5. Verify account created successfully","Name: Manual User
 Email: manual_user@gmail.com
 Password: manual@user2025","Account should be created
 and user should be logged in.",Pass
TC_02,Task,Register User with existing email,Browser launched and user has internet access.,"1. Go to 'Signup / Login'
2. Enter old email and name
3. Click 'Sign Up'","Name: Manual User
 Email: manual_user@gmail.com","Error message: ""Email adrress already exists""",Pass
TC_03,Task,Login User with correct email and password,Browser launched and user has internet access.,"1. Go to 'Signup / Login'
2. Enter correct email and password
3. Click 'Login'","Email: manual_user@gmail.com
Password: manual@user2025",User should be logged in successfully.,Pass
TC_04,Task,Login User with incorrect email and password,Browser launched and user has internet access.,"1. Go to 'Signup / Login'
2. Enter invalid email or password
3. Click 'Login'",Email: invalid@example.com Password: wrongpass,Error message: 'Your email or password is incorrect!' should appear.,Pass
TC_05,Task,Logout User,"Browser launched, user has internet access and previously logged in",Press logout button ,,User should be logged out,Pass
TC_06,Task,Contact Us Form,Browser launched and user has internet access.,"1. Click on 'Contact Us' button
2. Verify 'GET IN TOUCH' is visible
3. Enter name, email, subject and message
4. Upload file
5. Click 'Submit' button
6. Click OK button
","Name: Manual User
Email: manual_user@gmail.com

Subject: Test Subject
Message: Testing contact form functionality
Attachment: test_image.png",Message : 'Success! Your details have been submitted successfully.',Pass
TC_07,Task,Verify Test Cases Page,Browser launched and user has internet access.,Open the website and click on the test cases button,,Opens test cases page,Pass
TC_08,Task,Verify All Products and product detail page,Browser launched and user has internet access.,"1. Go to products page
2. Check that all products are available
3. Click on view products and verify that there are the same data",,Products page opens and product details product match the product page,Pass
TC_09,Task,Search Product,Browser launched and user has internet access.,"1. Go to products page
2. Check that all products are available
3. Click on search box and type any product","Search for ""T-shirt""",The user's search matches the result,Pass
TC_10,Task,Verify Subscription in home page,Browser launched and user has internet access.,"1. Scroll down to subscription in home page
2. Enter valid email and press the arrow button",manual_user@gmail.com,Subscription completed successfully.,Pass
TC_11,Task,Verify Subscription in Cart page,Browser launched and user has internet access.,"1. Scroll down to subscription in cart page
2. Enter valid email and press the arrow button",manual_user@gmail.com,Subscription completed successfully.,Pass
TC_12,Task,Add Products in Cart,Browser launched and user has internet access.,"1. Browse to Products.
2. Hover over a product and click Add to Cart.
3. Click Continue Shopping.
4. Add another product.
5. Click View Cart.
6. Verify both products are displayed with correct details.",Any two product names,Both products are listed with correct prices and quantities.,Pass
TC_13,Task,Verify Product quantity in Cart,Browser launched and user has internet access.,"1. Open a product detail page.
2. Set quantity to 4.
3. Click Add to Cart.
4. Open the cart page and verify the displayed quantity.",Product name and quantity = 4,Product displayed in cart with quantity of 4,Pass
TC_14,Task,Place Order: Register while Checkout,"Browser launched, user has internet access and not logged in.","1. Add a product to the cart.
2. Proceed to checkout.
3. Click Register / Login.
4. Complete registration.
5. Continue checkout, verify address, and enter payment details.
6. Confirm the order.","Name: Manual 2
Email: manual_2@gmail.com",Order is successfully placed and confirmation message displayed.,Pass
TC_15,Task,Place Order: Register before Checkout,"Browser launched, user has internet access and user registered.","1. Log in.
2. Add product(s) to the cart.
3. Proceed to checkout.
4. Confirm shipping details and payment.
5. Submit the order.",Payment Information.,Order is successfully placed and confirmation message displayed.,Pass
TC_16,Task,Place Order: Login before Checkout,Browser launched and user has internet access.,"1. Log in.
2. Add product(s) to the cart.
3. Proceed to checkout.
4. Confirm shipping details and payment.
5. Submit the order.",Payment Information.,Order is successfully placed and confirmation message displayed.,Pass
TC_17,Task,Remove Products From Cart,Cart must contain at least one product,"1. Navigate to the Cart page.
2. Click the Remove (X) icon beside the item.
3. Verify that the product is removed.",Product ID,Item removed from cart,Pass
